"","X","profile_id","upper_depth","latitude","longitude","dsds","profile_layer_id","lower_depth","layer_name","sand_value_avg","silt_value_avg","clay_value_avg","bdfiod_value_avg","bdfiod_method","orgc_value_avg","totc_value_avg","orgc_sd","cstock_t.ha","landcover"
"18",675,607067,0,39.11346817,-7.03671408,100,3111252,20,NA,NA,26.8,10,NA,NA,1.33,NA,0.537401153701776,32.6868447967253,"Grassland"
"19",691,607068,0,39.72637939,-7.30187321,40,3111256,20,NA,NA,10.6,3.1,NA,NA,1.855,NA,1.19501046020527,46.5666695551327,"Grassland"
"20",695,607069,0,39.82300186,-7.24906397,55,3111258,25,NA,NA,10.9,4.8,NA,NA,4.34,NA,1.14551298552221,112.015944268575,"Cropland"
"23",704,607072,0,41.31277847,-7.07891321,25,3111263,25,NA,NA,17.7,10.6,NA,NA,1.73,NA,NA,52.2601407601438,"Cropland"
"38",895,607087,0,39.44786072,-8.29480934,115,3111314,25,NA,NA,13.4,7.8,NA,NA,2,NA,1.14551298552221,60.3083608581379,"Cropland"
"41",943,607090,0,39.89920044,-7.24933481,125,3111326,25,NA,NA,17.5,8.1,NA,NA,2.885,NA,2.02939646200539,80.4853772161109,"Grassland"
"54",1133,607103,0,39.01480103,-6.98750401,100,3111374,25,NA,NA,53.1,13.8,NA,NA,1.59,NA,0.773498545570708,44.2963305550112,"Grassland"
"55",1149,607104,0,39.01464844,-6.99252081,110,3111378,25,NA,NA,25.6,7,NA,NA,2.18,NA,0.424264068711929,62.9284981378135,"Cropland"
"87",1561,607136,0,39.08778,-7.02631521,85,3111486,30,NA,NA,12.5,17.9,NA,NA,1.76,NA,0.910439454329611,62.8840598551462,"Cropland"
"89",1586,607138,0,40.56975174,-8.69168854,140,3111493,30,NA,NA,35.7,28.6,NA,NA,1.075,NA,0.601040764008565,37.2043171204315,"Tree cover"
"91",1606,607140,0,39.35253906,-7.35495901,45,3111499,22,NA,NA,11.2,4.4,NA,NA,1.515,NA,1.1667261889578,42.6545618979054,"Grassland"
"92",1610,607141,0,41.38623047,-6.62363386,60,3111501,30,NA,NA,15.1,7.2,NA,NA,0.855,NA,0.629325035256027,33.6299615270074,"Cropland"
"96",1664,607145,0,39.34506989,-7.37413597,105,3111515,15,NA,NA,12.5,4.3,NA,NA,1.53666666666667,NA,1.26753040726183,29.7271737961556,"Shrubland"
"97",1680,607146,0,41.17649078,-7.70858002,140,3111519,30,NA,NA,17.9,9.7,NA,NA,1.665,NA,0.728319984622144,60.3851447245824,"Grassland"
"100",1739,607149,0,41.13851166,-7.41094494,90,3111532,30,NA,NA,10.8,6.1,NA,NA,2.905,NA,2.00111219075793,98.7039788664138,"Grassland"
"103",1798,607152,0,41.19932938,-7.10181999,120,3111545,30,NA,NA,20.8,11.9,NA,NA,2.44,NA,1.10308657865101,82.3901809024735,"Grassland"
"106",1848,607155,0,39.07582092,-7.01115513,45,3111557,20,NA,NA,35.6,10.8,NA,NA,0.71,NA,0.5939696961967,17.8781352898811,"Cropland"
"108",1877,607157,0,40.49341965,-8.68967628,90,3111564,20,NA,NA,13.3,7.6,NA,NA,0.353333333333333,NA,0.198578280114753,9.87743535542915,"Grassland"
"113",1959,607162,0,40.22518921,-7.20038986,70,3111584,30,NA,NA,14.3,4.4,NA,NA,2.435,NA,1.33643181644257,85.2794669338086,"Tree cover"
"114",1968,607163,0,40.23178864,-7.17683792,75,3111587,22,NA,NA,17.8,10.6,NA,NA,2.935,NA,0.827314933988261,71.5970687252426,"Grassland"
"115",1977,607164,0,39.04975891,-6.98829412,110,3111590,15,NA,NA,12.7,9,NA,NA,0.975,NA,0.275378527364305,19.5091375192688,"Grassland"
"120",2068,607169,0,41.3762207,-6.62138605,55,3111611,25,NA,NA,15.5,23.5,NA,NA,1.8,NA,1.45663996924429,52.5987087703682,"Grassland"
"135",2245,607184,0,39.08195877,-7.03027678,115,3111658,28,NA,NA,11.9,12,NA,NA,1.125,NA,1.14418821295566,40.2881077301434,"Cropland"
"139",2302,607188,0,39.07883835,-7.02469778,60,3111673,20,NA,NA,52.5,16.7,NA,NA,0.576666666666667,NA,0.0321455025366432,13.9073992073205,"Grassland"
"146",2403,607195,0,41.23917007,-7.21032476,110,3111698,12,NA,NA,16.9,16.8,NA,NA,1.39333333333333,NA,0.842456724902433,20.9985741780053,"Cropland"
"165",2626,607214,0,41.27257156,-7.08389616,90,3111757,30,NA,NA,6.5,9.4,NA,NA,1.44,NA,0.678822509939086,54.9887251360655,"Shrubland"
"170",2702,607219,0,41.36190033,-7.11792898,130,3111775,25,NA,NA,23.7,18.1,NA,NA,2.1,NA,1.10308657865101,59.6126994302407,"Grassland"
"173",2750,607222,0,40.5525589,-8.21383572,100,3111787,10,NA,NA,51.5,27.1,NA,NA,0.305,NA,0.147082743152735,3.80342002827296,"Grassland"
"179",2836,607228,0,40.09136963,-8.64391422,95,3111809,30,NA,NA,19.8,11.7,NA,NA,6.025,NA,3.99515331370399,161.944473900923,"Cropland"
"183",2890,607232,0,39.2147789,-8.29097176,18,3111823,18,NA,NA,4.8,4.5,NA,NA,3.3,NA,NA,67.6081587591339,"Tree cover"
"187",2936,607236,0,39.0603714,-7.016222,125,3111835,30,NA,NA,27.9,9.7,NA,NA,1.402,NA,0.454444716109672,50.5080680798741,"Grassland"
"189",2970,607238,0,39.0374794,-6.98420095,130,3111843,25,NA,NA,34.2,15.4,NA,NA,0.423333333333333,NA,0.19731531449265,13.3960162150181,"Cropland"
"190",2986,607239,0,39.04140854,-6.99344683,110,3111847,25,NA,NA,50.2,11.7,NA,NA,2.25,NA,0.89095454429505,60.4821143324323,"Grassland"
"191",3002,607240,0,39.0969696,-7.03483582,100,3111851,15,NA,NA,39.2,14.5,NA,NA,0.9575,NA,0.577314183670094,17.6188005305175,"Grassland"
"192",3018,607241,0,40.6307106,-8.65437508,80,3111855,30,NA,NA,23.7,60.7,NA,NA,0.415,NA,0.190918830920368,14.490871935088,"Built-up"
"193",3022,607242,0,40.65343094,-8.60607529,60,3111857,20,NA,NA,46.3,21.3,NA,NA,0.46,NA,0.0707106781186548,11.2312979080842,"Tree cover"
"194",3026,607243,0,40.59664154,-8.48247814,80,3111859,20,NA,NA,44.8,33,NA,NA,3.16,NA,NA,62.8289926601918,"Tree cover"
"195",3035,607244,0,40.57970047,-8.57720947,70,3111862,30,NA,NA,31.9,13.4,NA,NA,0.365,NA,0.0212132034355964,13.9780403946162,"Built-up"
"196",3039,607245,0,40.6048317,-8.59864235,90,3111864,15,NA,NA,17.1,18,NA,NA,1.51,NA,NA,27.8541950795625,"Built-up"
